Date/time,Anemómetro 1;wind_speed;Avg,Anemómetro 1;wind_speed;Max,Anemómetro 1;wind_speed;Min,Anemómetro 1;wind_speed;StdDev,Anemómetro 1;wind_speed;Count,Anemómetro 2;wind_speed;Avg,Anemómetro 2;wind_speed;Max,Anemómetro 2;wind_speed;Min,Anemómetro 2;wind_speed;StdDev,Anemómetro 2;wind_speed;Count,Anemómetro 3;wind_speed;Avg,Anemómetro 3;wind_speed;Max,Anemómetro 3;wind_speed;Min,Anemómetro 3;wind_speed;StdDev,Anemómetro 3;wind_speed;Count,Anemómetro 4;wind_speed;Avg,Anemómetro 4;wind_speed;Max,Anemómetro 4;wind_speed;Min,Anemómetro 4;wind_speed;StdDev,Anemómetro 4;wind_speed;Count,Anemómetro 5;wind_speed;Avg,Anemómetro 5;wind_speed;Max,Anemómetro 5;wind_speed;Min,Anemómetro 5;wind_speed;StdDev,Anemómetro 5;wind_speed;Count,Anemómetro 6;wind_speed;Avg,Anemómetro 6;wind_speed;Max,Anemómetro 6;wind_speed;Min,Anemómetro 6;wind_speed;StdDev,Anemómetro 6;wind_speed;Count,Veleta 1;wind_direction;Avg,Veleta 1;wind_direction;StdDev,Veleta 1;wind_direction;Count,Veleta 2;wind_direction;Avg,Veleta 2;wind_direction;StdDev,Veleta 2;wind_direction;Count,Veleta 3;wind_direction;Avg,Veleta 3;wind_direction;StdDev,Veleta 3;wind_direction;Count,Hygro;humidity;Avg,Hygro;humidity;Max,Hygro;humidity;Min,Hygro;humidity;StdDev,Hygro;humidity;Count,Hygro;temperature;Avg,Hygro;temperature;Max,Hygro;temperature;Min,Hygro;temperature;StdDev,Hygro;temperature;Count,Barómetro 1;air_pressure;Avg,Barómetro 1;air_pressure;Max,Barómetro 1;air_pressure;Min,Barómetro 1;air_pressure;StdDev,Barómetro 1;air_pressure;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A1;Count,A2;Avg,A2;Max,A2;Min,A2;StdDev,A2;Count,A3;Avg,A3;Max,A3;Min,A3;StdDev,A3;Count,C1;Avg,C1;Max,C1;Min,C1;StdDev,C1;Count,C2;Avg,C2;Max,C2;Min,C2;StdDev,C2;Count,C3;Avg,C3;Max,C3;Min,C3;StdDev,C3;Count,C4;Avg,C4;Max,C4;Min,C4;StdDev,C4;Count,C5;Avg,C5;Max,C5;Min,C5;StdDev,C5;Count,C6;Avg,C6;Max,C6;Min,C6;StdDev,C6;Count,D1;Avg,D1;Max,D1;Min,D1;StdDev,D1;Count,D2;Avg,D2;Max,D2;Min,D2;StdDev,D2;Count,D3;Avg,D3;Max,D3;Min,D3;StdDev,D3;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2018-01-06 00:00:00,6.9856,7.2706,6.5806,0.1326,600,6.9161,7.2710,6.5345,0.1261,600,6.6019,7.0403,6.0749,0.2121,600,6.5363,6.9583,5.9921,0.2111,600,5.8273,6.4052,4.9774,0.2996,600,5.8530,6.3494,5.0569,0.2761,600,286.4407,0.8861,288,282.5527,1.2861,600,277.9637,1.5099,600,79.0425,79.2871,78.8598,0.1490,600,14.01718,14.06568,13.98633,0.02010,600,1009.1047,1009.3142,1008.8931,0.1186,600,3.4851,3.4886,3.4816,0.0020,600,0.7904,0.7929,0.7886,0.0015,600,0.44017,0.44066,0.43986,0.00020,600,146.8033,153.0000,138.0000,2.8836,600,145.2900,153.0000,137.0000,2.7401,600,138.4650,148.0000,127.0000,4.6135,600,136.8300,146.0000,125.0000,4.5880,600,121.4533,134.0000,103.0000,6.5050,600,122.2467,133.0000,105.0000,5.9818,600,163.6724,4058,137,256.2738,290,132.4167,140,125,3.6613,600,119.3633,135,102,4.2987,600,12.06,12.11,12.01,61.2133,72,60,17.1,4230385
2018-01-06 00:10:00,7.2123,7.5926,6.7646,0.1358,600,7.1284,7.4551,6.7647,0.1338,600,6.8684,7.3161,6.5806,0.1258,600,6.8024,7.1423,6.4982,0.1261,600,6.4019,6.8658,5.7604,0.2052,600,6.3295,6.6725,6.0263,0.1457,600,287.1871,0.4289,157,284.4626,2.2097,600,277.5056,1.9790,600,79.2985,79.3786,79.2261,0.0314,600,14.04133,14.05652,14.01990,0.00899,600,1008.9511,1009.1311,1008.7466,0.0855,600,3.4825,3.4855,3.4791,0.0014,600,0.7930,0.7938,0.7923,0.0003,600,0.44041,0.44057,0.44020,0.00009,600,151.7333,160.0000,142.0000,2.9524,600,149.9017,157.0000,142.0000,2.9062,600,144.2617,154.0000,138.0000,2.7372,600,142.6133,150.0000,136.0000,2.7416,600,133.9283,144.0000,120.0000,4.4545,600,132.5700,140.0000,126.0000,3.1557,600,145.5987,148,141,1.2240,157,137.8483,147,125,6.2908,600,118.0600,128,108,5.6341,600,12.06,12.11,12.01,61.0867,72,60,17.0,4230446
2018-01-06 00:20:00,6.8735,7.2246,6.6266,0.1218,600,6.8023,7.1329,6.5805,0.1194,600,6.5946,6.9023,6.3047,0.1132,600,6.5465,6.8662,6.2681,0.1067,600,6.2031,6.6355,5.8525,0.1443,600,6.2381,6.5340,5.9339,0.0980,600,---,---,0,284.5319,1.8535,600,278.5608,1.4401,600,79.2980,79.3786,79.2261,0.0267,600,13.98857,14.04431,13.90698,0.04049,600,1008.8838,1009.1128,1008.5635,0.0800,600,3.4814,3.4852,3.4761,0.0013,600,0.7930,0.7938,0.7923,0.0003,600,0.43989,0.44044,0.43907,0.00040,600,144.3683,152.0000,139.0000,2.6485,600,142.8183,150.0000,138.0000,2.5929,600,138.3050,145.0000,132.0000,2.4628,600,137.0517,144.0000,131.0000,2.3183,600,129.6117,139.0000,122.0000,3.1327,600,130.5883,137.0000,124.0000,2.1220,600,---,---,---,---,0,138.0467,151,130,5.2768,600,121.0617,130,104,4.0999,600,12.06,12.11,12.01,61.2233,72,60,17.0,4230507
2018-01-06 00:30:00,6.3968,6.9026,5.8446,0.2261,600,6.3308,6.8567,5.7980,0.2241,600,6.3217,6.7644,5.7991,0.2157,600,6.2663,6.7282,5.7620,0.2156,600,5.9900,6.4974,5.5301,0.2266,600,5.9167,6.3032,5.4723,0.2198,600,---,---,0,287.1612,1.0517,600,279.8393,0.9219,600,79.4331,79.7143,79.2566,0.1284,600,13.77573,13.91613,13.65062,0.07582,600,1008.8559,1009.1128,1008.5635,0.0916,600,3.4809,3.4852,3.4761,0.0015,600,0.7943,0.7971,0.7926,0.0013,600,0.43776,0.43916,0.43651,0.00076,600,134.0050,145.0000,122.0000,4.9151,600,132.5733,144.0000,121.0000,4.8677,600,132.3683,142.0000,121.0000,4.6928,600,130.9600,141.0000,120.0000,4.6867,600,124.9850,136.0000,115.0000,4.9192,600,123.6267,132.0000,114.0000,4.7622,600,---,---,---,---,0,145.5250,151,137,2.9940,600,124.6983,131,119,2.6247,600,12.08,12.16,12.01,45.2350,74,25,16.7,4230569
2018-01-06 00:40:00,5.8565,6.3506,5.4766,0.1628,600,5.7813,6.1663,5.3838,0.1699,600,5.8094,6.2128,5.2474,0.2593,600,5.7536,6.2221,5.1179,0.2768,600,5.5055,5.8065,5.1616,0.1287,600,5.4299,5.7031,5.0569,0.1178,600,---,---,0,284.6873,1.0824,600,281.4740,2.1375,600,79.9697,80.2332,79.6838,0.1484,600,13.55819,13.65673,13.45225,0.05560,600,1008.8093,1009.1128,1008.5635,0.0960,600,3.4802,3.4852,3.4761,0.0016,600,0.7997,0.8023,0.7968,0.0015,600,0.43558,0.43657,0.43452,0.00056,600,122.2583,133.0000,114.0000,3.5387,600,120.6367,129.0000,112.0000,3.6911,600,121.2250,130.0000,109.0000,5.6407,600,119.8183,130.0000,106.0000,6.0168,600,114.4667,121.0000,107.0000,2.7950,600,113.0800,119.0000,105.0000,2.5517,600,---,---,---,---,0,138.4883,145,131,3.0815,600,129.3483,141,118,6.0854,600,12.12,12.16,12.06,26.9100,29,25,14.9,4230630
2018-01-06 00:50:00,5.5499,5.8446,5.3386,0.0819,600,5.4814,5.7520,5.2457,0.0814,600,5.3062,5.5692,5.1095,0.0893,600,5.2537,5.4859,5.1179,0.0725,600,5.0299,5.3459,4.7931,0.1118,600,4.9566,5.2877,4.7338,0.1125,600,284.5156,---,1,283.0287,0.7245,575,280.8377,0.5598,600,80.5564,80.8740,80.2026,0.1846,600,13.37910,13.45836,13.31492,0.03690,600,1008.8198,1009.1128,1008.5635,0.0917,600,3.4803,3.4852,3.4761,0.0015,600,0.8056,0.8087,0.8020,0.0018,600,0.43379,0.43458,0.43315,0.00037,600,115.5933,122.0000,111.0000,1.7814,600,114.1217,120.0000,109.0000,1.7688,600,110.2783,116.0000,106.0000,1.9426,600,108.9533,114.0000,106.0000,1.5765,600,104.1400,111.0000,99.0000,2.4284,600,102.8267,110.0000,98.0000,2.4372,600,138.0000,138,138,---,1,133.7704,138,126,2.0625,575,127.5383,131,123,1.5936,600,12.12,12.16,12.06,26.8667,29,25,14.0,4230692
2018-01-06 01:00:00,5.5476,5.8446,5.2926,0.1163,600,5.4810,5.7520,5.2457,0.1091,600,5.2067,5.4313,4.9716,0.0923,600,5.1717,5.3939,4.9338,0.1009,600,4.7639,5.0234,4.4247,0.0992,600,4.7252,4.9184,4.5491,0.0705,600,---,---,0,284.6433,2.8225,583,280.8105,2.3397,600,81.2498,81.6065,80.8740,0.2049,600,13.32062,13.34849,13.30577,0.00979,600,1008.7390,1009.0945,1008.5452,0.1107,600,3.4790,3.4849,3.4758,0.0018,600,0.8125,0.8161,0.8087,0.0020,600,0.43321,0.43348,0.43306,0.00010,600,115.5433,122.0000,110.0000,2.5276,600,114.1133,120.0000,109.0000,2.3699,600,108.1133,113.0000,103.0000,2.0076,600,107.1700,112.0000,102.0000,2.1930,600,98.3650,104.0000,91.0000,2.1540,600,97.8150,102.0000,94.0000,1.5280,600,---,---,---,---,0,138.3636,151,125,8.0357,583,127.4617,140,116,6.6610,600,12.12,12.16,12.06,26.8733,29,25,13.1,4230753
2018-01-06 01:10:00,5.8760,6.2126,5.5226,0.1383,600,5.7955,6.1202,5.3838,0.1390,600,5.1946,5.4773,4.8337,0.0880,600,5.1652,5.3939,4.7958,0.1040,600,4.6927,4.9774,4.4247,0.0982,600,4.6227,4.9184,4.3645,0.0961,600,---,---,0,287.2986,1.2807,487,283.2588,1.4403,600,81.7485,81.9422,81.5760,0.1100,600,13.36365,13.38817,13.33628,0.01016,600,1008.5807,1008.7649,1008.3804,0.0790,600,3.4763,3.4794,3.4730,0.0013,600,0.8175,0.8194,0.8158,0.0011,600,0.43364,0.43388,0.43336,0.00010,600,122.6817,130.0000,115.0000,3.0064,600,120.9450,128.0000,112.0000,3.0200,600,107.8500,114.0000,100.0000,1.9149,600,107.0283,112.0000,99.0000,2.2604,600,96.8183,103.0000,91.0000,2.1322,600,95.5933,102.0000,90.0000,2.0813,600,---,---,---,---,0,145.9158,153,137,3.6468,487,134.4250,143,126,4.1003,600,12.11,12.16,12.06,26.8933,29,25,13.0,4230814
2018-01-06 01:20:00,5.7679,6.2126,5.4306,0.1505,600,5.6826,6.0742,5.3377,0.1413,600,5.1840,5.4773,4.8797,0.1071,600,5.1468,5.4859,4.8418,0.1099,600,4.6970,5.0234,4.3786,0.1367,600,4.6321,4.9646,4.3645,0.1256,600,---,---,0,284.5054,1.2885,447,280.5148,1.5745,600,82.2029,82.4000,81.9422,0.1348,600,13.41646,13.46141,13.36375,0.03178,600,1008.5572,1008.7649,1008.3621,0.0962,600,3.4760,3.4794,3.4727,0.0016,600,0.8220,0.8240,0.8194,0.0013,600,0.43416,0.43461,0.43364,0.00032,600,120.3333,130.0000,113.0000,3.2721,600,118.4917,127.0000,111.0000,3.0696,600,107.6200,114.0000,101.0000,2.3291,600,106.6283,114.0000,100.0000,2.3895,600,96.9133,104.0000,90.0000,2.9682,600,95.7967,103.0000,90.0000,2.7205,600,2742.0000,4054,2086,984.0000,9,137.9709,145,131,3.6692,447,126.6200,135,119,4.4825,600,12.11,12.16,12.06,26.8867,29,25,13.0,4230876
2018-01-06 01:30:00,6.2029,6.7186,5.5226,0.2617,600,6.1232,6.7186,5.5679,0.2576,600,5.3189,5.8450,4.8797,0.1483,600,5.2593,5.6700,4.8878,0.1453,600,4.7420,5.0695,4.3325,0.1233,600,4.6758,5.1031,4.3645,0.1152,600,---,---,0,284.1229,1.2627,488,279.7782,1.1526,600,82.4138,82.6441,82.1253,0.1512,600,13.39262,13.43700,13.36985,0.01354,600,1008.5259,1008.8931,1008.3621,0.0894,600,3.4754,3.4816,3.4727,0.0015,600,0.8241,0.8264,0.8213,0.0015,600,0.43393,0.43437,0.43370,0.00014,600,129.7883,141.0000,115.0000,5.6889,600,128.0650,141.0000,116.0000,5.5970,600,110.5550,122.0000,101.0000,3.2266,600,109.0750,118.0000,101.0000,3.1574,600,97.8900,105.0000,89.0000,2.6764,600,96.7450,106.0000,90.0000,2.4967,600,---,---,---,---,0,136.8832,149,126,3.5957,488,124.5250,143,118,3.2814,600,12.11,12.16,12.06,26.9167,29,25,12.2,4230937
