Date/time,Anemómetro 1;wind_speed;Avg,Anemómetro 1;wind_speed;Max,Anemómetro 1;wind_speed;Min,Anemómetro 1;wind_speed;StdDev,Anemómetro 1;wind_speed;Count,Anemómetro 2;wind_speed;Avg,Anemómetro 2;wind_speed;Max,Anemómetro 2;wind_speed;Min,Anemómetro 2;wind_speed;StdDev,Anemómetro 2;wind_speed;Count,Anemómetro 3;wind_speed;Avg,Anemómetro 3;wind_speed;Max,Anemómetro 3;wind_speed;Min,Anemómetro 3;wind_speed;StdDev,Anemómetro 3;wind_speed;Count,Anemómetro 4;wind_speed;Avg,Anemómetro 4;wind_speed;Max,Anemómetro 4;wind_speed;Min,Anemómetro 4;wind_speed;StdDev,Anemómetro 4;wind_speed;Count,Anemómetro 5;wind_speed;Avg,Anemómetro 5;wind_speed;Max,Anemómetro 5;wind_speed;Min,Anemómetro 5;wind_speed;StdDev,Anemómetro 5;wind_speed;Count,Anemómetro 6;wind_speed;Avg,Anemómetro 6;wind_speed;Max,Anemómetro 6;wind_speed;Min,Anemómetro 6;wind_speed;StdDev,Anemómetro 6;wind_speed;Count,Veleta 1;wind_direction;Avg,Veleta 1;wind_direction;StdDev,Veleta 1;wind_direction;Count,Veleta 2;wind_direction;Avg,Veleta 2;wind_direction;StdDev,Veleta 2;wind_direction;Count,Veleta 3;wind_direction;Avg,Veleta 3;wind_direction;StdDev,Veleta 3;wind_direction;Count,Hygro;humidity;Avg,Hygro;humidity;Max,Hygro;humidity;Min,Hygro;humidity;StdDev,Hygro;humidity;Count,Hygro;temperature;Avg,Hygro;temperature;Max,Hygro;temperature;Min,Hygro;temperature;StdDev,Hygro;temperature;Count,Barómetro 1;air_pressure;Avg,Barómetro 1;air_pressure;Max,Barómetro 1;air_pressure;Min,Barómetro 1;air_pressure;StdDev,Barómetro 1;air_pressure;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A1;Count,A2;Avg,A2;Max,A2;Min,A2;StdDev,A2;Count,A3;Avg,A3;Max,A3;Min,A3;StdDev,A3;Count,C1;Avg,C1;Max,C1;Min,C1;StdDev,C1;Count,C2;Avg,C2;Max,C2;Min,C2;StdDev,C2;Count,C3;Avg,C3;Max,C3;Min,C3;StdDev,C3;Count,C4;Avg,C4;Max,C4;Min,C4;StdDev,C4;Count,C5;Avg,C5;Max,C5;Min,C5;StdDev,C5;Count,C6;Avg,C6;Max,C6;Min,C6;StdDev,C6;Count,D1;Avg,D1;Max,D1;Min,D1;StdDev,D1;Count,D2;Avg,D2;Max,D2;Min,D2;StdDev,D2;Count,D3;Avg,D3;Max,D3;Min,D3;StdDev,D3;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T,addr
2018-05-03 00:00:00,0.0034,0.3246,0.0000,0.0314,600,0.0034,0.3205,0.0000,0.0310,600,0.0035,0.3286,0.0000,0.0319,600,0.0030,0.3328,0.0000,0.0302,600,0.0020,0.3253,0.0000,0.0247,600,0.0023,0.3024,0.0000,0.0251,600,---,---,0,321.2954,5.7286,600,319.1146,6.2036,600,88.3889,88.5037,88.2290,0.0505,600,25.64845,25.68407,25.61693,0.01520,600,998.9923,999.2431,998.6572,0.0963,600,3.3165,3.3207,3.3110,0.0016,600,0.8839,0.8850,0.8823,0.0005,600,0.55648,0.55684,0.55617,0.00015,600,0.0150,2.0000,0.0000,0.1466,600,0.0150,2.0000,0.0000,0.1466,600,0.0150,2.0000,0.0000,0.1466,600,0.0133,2.0000,0.0000,0.1409,600,0.0100,2.0000,0.0000,0.1288,600,0.0117,2.0000,0.0000,0.1350,600,---,---,---,---,0,242.6183,291,185,16.3213,600,236.4183,288,171,17.6780,600,12.01,12.06,12.01,62.7700,74,62,31.0,5237702
2018-05-03 00:10:00,0.0014,0.2786,0.0000,0.0197,600,0.0014,0.2744,0.0000,0.0194,600,0.0009,0.2827,0.0000,0.0163,600,0.0014,0.2868,0.0000,0.0202,600,0.0009,0.2793,0.0000,0.0161,600,0.0014,0.3024,0.0000,0.0192,600,---,---,0,321.9840,5.2471,600,320.2095,5.7335,600,88.2598,88.3816,88.0764,0.0788,600,25.64592,25.66576,25.61998,0.01247,600,998.8459,999.0600,998.4741,0.1163,600,3.3141,3.3177,3.3079,0.0019,600,0.8826,0.8838,0.8808,0.0008,600,0.55646,0.55666,0.55620,0.00012,600,0.0050,1.0000,0.0000,0.0706,600,0.0050,1.0000,0.0000,0.0706,600,0.0033,1.0000,0.0000,0.0577,600,0.0050,1.0000,0.0000,0.0706,600,0.0033,1.0000,0.0000,0.0577,600,0.0067,2.0000,0.0000,0.0999,600,---,---,---,---,0,244.5733,291,199,14.9473,600,239.5267,295,184,16.3355,600,12.01,12.06,12.01,62.9800,72,62,31.0,5237763
2018-05-03 00:20:00,0.0023,0.2786,0.0000,0.0253,600,0.0023,0.2744,0.0000,0.0250,600,0.0014,0.2827,0.0000,0.0200,600,0.0024,0.2868,0.0000,0.0261,600,0.0014,0.2793,0.0000,0.0197,600,0.0017,0.2563,0.0000,0.0209,600,---,---,0,321.6584,5.4195,600,319.8765,5.3432,600,87.9518,88.1069,87.7407,0.1062,600,25.67054,25.68712,25.64745,0.00744,600,998.7133,998.8769,998.4741,0.1185,600,3.3119,3.3146,3.3079,0.0020,600,0.8795,0.8811,0.8774,0.0011,600,0.55671,0.55687,0.55647,0.00007,600,0.0083,1.0000,0.0000,0.0910,600,0.0083,1.0000,0.0000,0.0910,600,0.0050,1.0000,0.0000,0.0706,600,0.0083,1.0000,0.0000,0.0910,600,0.0050,1.0000,0.0000,0.0706,600,0.0067,1.0000,0.0000,0.0814,600,---,---,---,---,0,243.6517,293,204,15.4359,600,238.5800,281,182,15.2203,600,12.01,12.06,12.01,63.0400,74,62,31.0,5237825
2018-05-03 00:30:00,0.0046,0.2786,0.0000,0.0357,600,0.0032,0.2744,0.0000,0.0295,600,0.0038,0.2827,0.0000,0.0324,600,0.0039,0.3328,0.0000,0.0336,600,0.0014,0.2793,0.0000,0.0197,600,0.0034,0.2563,0.0000,0.0294,600,---,---,0,322.9976,4.9576,600,321.4110,4.8094,600,87.5847,87.7712,87.4355,0.1066,600,25.67371,25.69018,25.65050,0.00897,600,998.5570,998.8769,998.3093,0.1179,600,3.3093,3.3146,3.3052,0.0020,600,0.8758,0.8777,0.8744,0.0011,600,0.55674,0.55690,0.55651,0.00009,600,0.0167,1.0000,0.0000,0.1281,600,0.0117,1.0000,0.0000,0.1075,600,0.0133,1.0000,0.0000,0.1148,600,0.0150,2.0000,0.0000,0.1347,600,0.0050,1.0000,0.0000,0.0706,600,0.0133,1.0000,0.0000,0.1148,600,---,---,---,---,0,247.4583,287,193,14.1221,600,242.9500,289,202,13.6989,600,12.01,12.06,12.01,62.9000,72,62,31.0,5237886
2018-05-03 00:40:00,0.0085,0.5546,0.0000,0.0528,600,0.0071,0.5506,0.0000,0.0491,600,0.0084,0.5585,0.0000,0.0537,600,0.0078,0.5629,0.0000,0.0521,600,0.0077,0.5096,0.0000,0.0489,600,0.0060,0.5332,0.0000,0.0433,600,---,---,0,321.5303,5.2291,600,320.0740,5.2244,600,87.3266,87.4660,87.2219,0.0509,600,25.60754,25.66576,25.53453,0.03389,600,998.4493,998.6755,998.1262,0.1029,600,3.3075,3.3113,3.3021,0.0017,600,0.8733,0.8747,0.8722,0.0005,600,0.55608,0.55666,0.55535,0.00034,600,0.0500,7.0000,0.0000,0.3972,600,0.0467,7.0000,0.0000,0.4018,600,0.0533,7.0000,0.0000,0.4252,600,0.0483,7.0000,0.0000,0.4037,600,0.0400,6.0000,0.0000,0.3244,600,0.0383,7.0000,0.0000,0.3611,600,---,---,---,---,0,243.2850,297,191,14.8965,600,239.1433,287,193,14.8829,600,12.01,12.06,12.01,62.9933,74,62,31.0,5237947
2018-05-03 00:50:00,0.0059,0.6466,0.0000,0.0453,600,0.0056,0.5506,0.0000,0.0427,600,0.0061,0.6964,0.0000,0.0474,600,0.0065,0.6089,0.0000,0.0472,600,0.0047,0.4635,0.0000,0.0390,600,0.0049,0.3486,0.0000,0.0357,600,---,---,0,319.4196,5.2575,600,317.7074,5.4672,600,87.3508,87.4660,87.2524,0.0575,600,25.46324,25.54369,25.37583,0.04620,600,998.3778,998.6755,998.1262,0.1223,600,3.3063,3.3113,3.3021,0.0020,600,0.8735,0.8747,0.8725,0.0006,600,0.55463,0.55544,0.55376,0.00046,600,0.0350,9.0000,0.0000,0.4009,600,0.0317,7.0000,0.0000,0.3279,600,0.0383,10.0000,0.0000,0.4441,600,0.0367,8.0000,0.0000,0.3727,600,0.0267,5.0000,0.0000,0.2634,600,0.0217,3.0000,0.0000,0.1768,600,---,---,---,---,0,237.2767,284,173,14.9771,600,232.4117,287,173,15.5770,600,12.01,12.06,12.01,63.0267,72,62,31.0,5238009
2018-05-03 01:00:00,0.0089,0.8766,0.0000,0.0586,600,0.0091,0.9188,0.0000,0.0605,600,0.0093,0.8343,0.0000,0.0602,600,0.0093,0.8849,0.0000,0.0607,600,0.0085,0.7859,0.0000,0.0553,600,0.0072,0.7640,0.0000,0.0507,600,---,---,0,322.0729,5.4899,600,319.9061,5.3030,600,87.7312,88.0154,87.4355,0.1648,600,25.31840,25.38194,25.28733,0.02386,600,998.3143,998.6572,997.9431,0.1097,600,3.3052,3.3110,3.2991,0.0018,600,0.8773,0.8802,0.8744,0.0016,600,0.55318,0.55382,0.55287,0.00024,600,0.0583,14.0000,0.0000,0.6209,600,0.0650,15.0000,0.0000,0.6769,600,0.0650,13.0000,0.0000,0.6094,600,0.0617,14.0000,0.0000,0.6339,600,0.0500,12.0000,0.0000,0.5304,600,0.0500,12.0000,0.0000,0.5366,600,---,---,---,---,0,244.8383,316,200,15.6451,600,238.6717,290,198,15.1087,600,12.01,12.06,11.96,63.1467,74,62,31.0,5238070
2018-05-03 01:10:00,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,---,---,0,322.1733,6.2617,600,320.3056,5.6997,600,88.1207,88.3816,87.9543,0.1209,600,25.25146,25.30870,25.18662,0.03506,600,998.2449,998.5107,997.9431,0.1162,600,3.3041,3.3085,3.2991,0.0019,600,0.8812,0.8838,0.8795,0.0012,600,0.55251,0.55309,0.55187,0.00035,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,---,---,---,---,0,245.1083,291,192,17.8387,600,239.8017,286,179,16.2369,600,12.01,12.01,11.96,63.2533,74,62,30.6,5238131
2018-05-03 01:20:00,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,---,---,0,322.7128,4.9864,600,321.9815,5.9006,600,88.5541,88.7783,88.3511,0.0957,600,25.16619,25.19578,25.11948,0.02018,600,998.1606,998.4741,997.7416,0.0956,600,3.3027,3.3079,3.2957,0.0016,600,0.8855,0.8878,0.8835,0.0010,600,0.55166,0.55196,0.55119,0.00020,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,---,---,---,---,0,246.6500,298,207,14.2046,600,244.5933,326,203,16.8233,600,12.01,12.01,11.96,63.2667,72,62,30.0,5238193
2018-05-03 01:30:00,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,---,---,0,321.5771,5.1453,600,320.3205,5.7572,600,88.9226,89.1140,88.7173,0.0919,600,25.09720,25.13169,25.04318,0.02406,600,998.0422,998.4924,997.7416,0.1285,600,3.3007,3.3082,3.2957,0.0021,600,0.8892,0.8911,0.8872,0.0009,600,0.55097,0.55132,0.55043,0.00024,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,0.0000,0.0000,0.0000,0.0000,600,---,---,---,---,0,243.4233,303,196,14.6573,600,239.8533,306,195,16.4033,600,12.01,12.06,11.96,63.3367,74,62,30.0,5238254
